timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1526976379182,752,https://qa.starofservice.com/,200,OK,Thread Group 1-1,text,true,,25935,0,1,1,666,0,0
1526976379937,426,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-1,text,true,,22477,0,1,1,337,0,0
1526976380364,477,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-1,text,true,,36476,0,1,1,302,0,0
1526976380842,419,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-1,text,true,,23950,0,1,1,331,0,0
1526976381262,399,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-1,text,true,,21544,0,1,1,311,0,0
1526976381662,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-1,text,true,,23909,0,1,1,294,0,0
1526976382045,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-1,text,true,,24449,0,2,2,296,0,0
1526976382175,471,https://qa.starofservice.com/,200,OK,Thread Group 1-2,text,true,,25935,0,2,2,386,0,0
1526976382428,384,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-1,text,true,,21529,0,2,2,295,0,0
1526976382647,441,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-2,text,true,,22477,0,2,2,339,0,0
1526976382813,496,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-1,text,true,,39331,0,2,2,320,0,0
1526976383089,482,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-2,text,true,,36476,0,2,2,307,0,0
1526976383310,383,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-1,text,true,,21534,0,2,2,295,0,0
1526976383572,407,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-2,text,true,,23950,0,1,1,319,0,0
1526976383982,386,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-2,text,true,,21544,0,1,1,301,0,0
1526976384369,398,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-2,text,true,,23909,0,1,1,309,0,0
1526976384768,402,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-2,text,true,,24449,0,1,1,313,0,0
1526976385171,395,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-2,text,true,,21529,0,2,2,306,0,0
1526976385178,479,https://qa.starofservice.com/,200,OK,Thread Group 1-3,text,true,,25935,0,2,2,389,0,0
1526976385657,368,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-3,text,true,,22477,0,2,2,283,0,0
1526976385567,521,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-2,text,true,,39331,0,2,2,339,0,0
1526976386026,412,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-3,text,true,,36476,0,2,2,323,0,0
1526976386089,387,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-2,text,true,,21534,0,2,2,298,0,0
1526976386439,401,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-3,text,true,,23950,0,1,1,313,0,0
1526976386841,397,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-3,text,true,,21544,0,1,1,303,0,0
1526976387238,416,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-3,text,true,,23909,0,1,1,325,0,0
1526976387655,391,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-3,text,true,,24449,0,1,1,302,0,0
1526976388046,385,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-3,text,true,,21529,0,2,2,298,0,0
1526976388179,528,https://qa.starofservice.com/,200,OK,Thread Group 1-4,text,true,,25935,0,2,2,439,0,0
1526976388432,479,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-3,text,true,,39331,0,2,2,302,0,0
1526976388707,383,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-4,text,true,,22477,0,2,2,294,0,0
1526976388912,409,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-3,text,true,,21534,0,2,2,321,0,0
1526976389091,523,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-4,text,true,,36476,0,1,1,326,0,0
